source,id,name,url,price_value,price_currency,price_period,price_low,price_high,price_text,address,city,country,postal_code,lat,lng,rating,rating_count,type,image,description,source_url
amberstudent,amberstudent:southwark-london-2405026945836,"YourTRIBE Southwark, London", https://www.yourtribe.com/buildings/southwark/,329.0,GBP,week,329.0,449.0,329.0,"28 Ruby St, London SE15 1LR, UK",London,GB,SE15 1LR,51.48249500000001,-0.0619654,,,student_accommodation,https://assets.amberstudent.com/inventories/1644961/55cb4b89.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:vita-student-lewisham-exchange-2011093481483,"Vita Student Lewisham Exchange, London",https://www.vitastudent.com/student-accommodation/london/lewisham-exchange/,330.0,GBP,week,330.0,786.0,330.0,"Exchange Point, Loampit Vale, London SE13 7NX, UK",London,GB,SE13 7NX,51.4647139,-0.0141497,4.5,24,student_accommodation,https://assets.amberstudent.com/inventories/166414/b0c81bc2.jpg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:gobritanya-wembley-arthur-house-london-2507193580286,"GoBritanya Wembley Arthur House, London",https://docs.google.com/spreadsheets/d/1l2AR2i0prSBYHWEJxUaBDjLYaXKW1moVcaM5PPSfJgE/edit?gid=0#gid=0,330.0,GBP,week,330.0,430.0,330.0,"Arthur House, 1 Rutherford Way, Wembley Park, Wembley HA9 0GF, UK",Wembley,GB,HA9 0GF,51.5606716,-0.278395,,,student_accommodation,https://assets.amberstudent.com/inventories/2007816/47bf480c.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:chapter-islington-london-1707290711220,"Chapter Islington, London",https://www.chapter-living.com/properties/islington/,334.0,GBP,week,334.0,516.0,334.0,"32-34 Market Rd, London N7 9AW, UK",London,GB,N7 9AW,51.5471389,-0.1208181,5.0,7,student_accommodation,https://assets.amberstudent.com/inventories/1439346/58afb3e9.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:iq-haywood-house-london-1706037699469,"iQ Haywood House, London",https://www.iqstudentaccommodation.com/london/haywood-house,336.0,GBP,week,336.0,557.0,336.0,"iQ Haywood House, Blackburn Rd, London NW6 1RZ, UK",London,GB,NW6 1RZ,51.54736020000001,-0.1889402,5.0,6,student_accommodation,https://assets.amberstudent.com/inventories/196738/383fa05f.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:central-studios-ealing-london-1608309927436,"Central Studios, London",https://www.mezzino.com/property/central-studios/,340.0,GBP,week,340.0,470.0,340.0,"Central Studios Ealing, 1 The Grove, London W5 5BL, UK",London,GB,W5 5BL,51.510635,-0.30474629999999997,4.7,3,student_accommodation,https://assets.amberstudent.com/inventories/1687733/866042c9.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:moonraker-point-london-1710250639933,"Moonraker Point, London",https://www.unitestudents.com/london/moonraker-point,340.0,GBP,week,340.0,458.0,340.0,"Pocock St, London SE1 0FN, UK",London,GB,SE1 0FN,51.5021788,-0.1005683,5.0,8,student_accommodation,https://assets.amberstudent.com/inventories/209397/6c45e8f9.jpeg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:canvas-student-arthur-house-london-2411133787278,"Canvas Student Arthur House, London",https://www.canvas-world.com/en/locations/united-kingdom/london/wembley-arthur-house,340.0,GBP,week,340.0,527.0,340.0,"Wembley Park, Wembley HA9 0GF, UK",Wembley,GB,HA9 0GF,51.55894230000001,-0.2790529,5.0,1,student_accommodation,https://assets.amberstudent.com/inventories/1523087/81792035.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:the-curve-2001255783052,"Yugo The Curve, London",https://yugo.com/en-gb/global/united-kingdom/london/the-curve,341.0,GBP,week,341.0,467.0,341.0,"14 Fieldgate St, London E1 1ES, UK",London,GB,E1 1ES,51.51674670000001,-0.06620329999999999,4.7,3,student_accommodation,https://assets.amberstudent.com/inventories/148573/339f3939.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:chapter-aldgate-london-2203165496617,"Chapter Aldgate, London",https://www.chapter-living.com/properties/aldgate/,343.0,GBP,week,343.0,719.0,343.0,"Education Square, Whitechapel, 1-2 Commercial Rd, London E1 1DF, UK",London,GB,E1 1DF,51.5151188,-0.06790450000000002,4.8,8,student_accommodation,https://assets.amberstudent.com/inventories/211817/39d920d0.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:signal-house-london-2511219100180,"Signal House, London",https://www.mezzino.com/property/signal-house/,345.0,GBP,week,345.0,480.0,345.0,"144 Kingston Rd, London SW19 1LY, UK",London,GB,SW19 1LY,51.414454,-0.20173339999999998,,,student_accommodation,https://assets.amberstudent.com/inventories/2410300/d6ad9ab9.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:chapter-kings-cross-london-1707293068339,"Chapter Kings Cross, London",https://www.chapter-living.com/properties/north/kings-cross,349.0,GBP,week,349.0,730.0,349.0,"200 Pentonville Rd, London N1 9JP, UK",London,GB,N1 9JP,51.53131519999999,-0.1181328,4.6,13,student_accommodation,https://assets.amberstudent.com/inventories/2395879/f50f9214.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:somerset-court-london-1710105069958,"Somerset Court, London",https://www.unitestudents.com/london/somerset-court,350.0,GBP,week,350.0,448.0,350.0,"Aldenham St, London NW1 1AS, UK",London,GB,NW1 1AS,51.5318873,-0.1337449,4.3,4,student_accommodation,https://assets.amberstudent.com/inventories/138034/301b1ecd.jpg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:stay-club-north-acton-london-2210285460984,"The Stay Club North Acton, London",https://www.thestayclub.com/student-accommodation/north-acton,350.0,GBP,week,350.0,474.0,350.0,"210 Western Ave, London W3 6YW, UK",London,GB,W3 6YW,51.5176963,-0.2606458,5.0,3,student_accommodation,https://assets.amberstudent.com/inventories/236781/f7eaf9f8.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:iq-aldgate-london-1707315979267,"iQ Aldgate, London",https://www.iqstudentaccommodation.com/search/building/aldgate?year=2019-20,359.0,GBP,week,359.0,592.0,359.0,"66 Commercial Rd, London E1 1LP, UK",London,GB,E1 1LP,51.5146711,-0.06687880000000002,4.9,8,student_accommodation,https://assets.amberstudent.com/inventories/1273215/d5f6b6ac.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:londonist-finsbury-house-london-2003139228332,"LST Finsbury House, London",https://www.londonist.co.uk/residences/finsbury-house_16,360.0,GBP,week,360.0,470.0,360.0,"323 Green Lanes, Finsbury Park, London N4 2ES, UK",London,GB,N4 2ES,51.5699956,-0.09553819999999999,4.3,3,student_accommodation,https://assets.amberstudent.com/inventories/149427/533b4950.jpg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:londonist-the-lyra-london-2408301151799,"LST The Lyra, London",https://londonist.co.uk/residences/the-lyra_527?academic_year_id=8,360.0,GBP,week,360.0,400.0,360.0,"North Acton, London W3 6ZX, UK",London,GB,W3 6ZX,51.5226206,-0.2612940999999999,,,student_accommodation,https://assets.amberstudent.com/inventories/1251062/5d5e9e31.jpeg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:hawthorne-house-london-2511172322354,"Hawthorne House, London",https://www.unitestudents.com/student-accommodation/london/hawthorne-house?roomType=ENSUITE&bedSize=Double&roomSize=Large,363.0,GBP,week,363.0,467.0,363.0,"2 Farthingale Walk, London E15 1LE, UK",London,GB,E15 1LE,51.5396898,-0.0012579,,,student_accommodation,https://assets.amberstudent.com/inventories/2391933/86de0e66.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:mcmillan-student-village-london-2412028192296,"McMillan Student Village, London",https://campuslivingvillages.com/united-kingdom/london/mcmillan/,365.0,GBP,week,365.0,444.0,365.0,"McMillan Student Village, 137 Creek Rd, London SE8 3BU, UK",London,GB,SE8 3BU,51.48126269999999,-0.0214423,,,student_accommodation,https://assets.amberstudent.com/inventories/1477710/496e3873.jpg,,https://amberstudent.com/places/search/london-1811028205760
